Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 188238 facts in 0.45 s using -94 MB
Using HeadCoverage as pruning metric with minimum threshold 0.75
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.75
Filtering on PCA confidence with minimum threshold 0.75
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  1297  ?a   => ?a  1189  ?b	0.800847458	0.818181818	0.887323944	189	231	213	?a	0.0	0.0	0.0
?b  1306  ?a   => ?a  1186  ?b	0.81547619	0.83030303	0.86984127	274	330	315	?b	0.0	0.0	0.0
?b  582  ?a   => ?a  1192  ?b	0.827272727	0.831050228	0.994535519	182	219	183	?b	0.0	0.0	0.0
?b  489  ?a   => ?a  906  ?b	0.803418803	0.854545455	0.87037037	94	110	108	?a	0.0	0.0	0.0
?b  479  ?a   => ?a  1194  ?b	0.826446281	0.854700855	0.854700855	100	117	117	?b	0.0	0.0	0.0
?b  1114  ?a   => ?a  1182  ?b	0.797029703	0.789215686	0.809045226	161	204	199	?a	0.0	0.0	0.0
?b  1164  ?a   => ?a  1181  ?b	0.823529412	0.786516854	0.786516854	210	267	267	?a	0.0	0.0	0.0
?b  576  ?a   => ?a  1179  ?b	0.827004219	0.834042553	0.951456311	196	235	206	?b	0.0	0.0	0.0
?a  1295  ?b   => ?a  1190  ?b	0.82137834	0.824858757	1	584	708	584	?a	0.0	0.0	0.0
?a  1317  ?b   => ?a  1190  ?b	0.808720113	0.81100141	1	575	709	575	?a	0.0	0.0	0.0
?a  1228  ?b   => ?a  1190  ?b	0.814345992	0.81092437	1	579	714	579	?a	0.0	0.0	0.0
?a  1268  ?b   => ?a  1190  ?b	0.815752461	0.813464236	1	580	713	580	?a	0.0	0.0	0.0
?b  1176  ?a   => ?a  1176  ?b	0.820295983	0.820295983	0.843478261	388	473	460	?b	0.0	0.0	0.0
?b  588  ?a   => ?a  1175  ?b	0.81372549	0.873684211	1	83	95	83	?b	0.0	0.0	0.0
?b  1101  ?a   => ?a  1188  ?b	0.831514325	0.805684071	1	1219	1513	1219	?a	0.0	0.0	0.0
?b  1122  ?a   => ?a  1191  ?b	0.838959602	0.830684932	0.914906457	1516	1825	1657	?b	0.0	0.0	0.0
?b  863  ?a   => ?a  1166  ?b	0.794117647	0.864	1	108	125	108	?b	0.0	0.0	0.0
?b  477  ?a   => ?a  1165  ?b	0.833333333	0.85	1	85	100	85	?b	0.0	0.0	0.0
?b  1126  ?a   => ?a  1168  ?b	0.82952183	0.838235294	0.859913793	399	476	464	?a	0.0	0.0	0.0
?b  1181  ?a   => ?a  1164  ?b	0.786516854	0.823529412	0.833333333	210	255	252	?b	0.0	0.0	0.0
?a  367  ?b   => ?a  1164  ?b	0.752808989	0.834024896	0.8375	201	241	240	?b	0.0	0.0	0.0
?b  1277  ?a   => ?a  1162  ?b	0.804878049	0.785714286	0.942857143	99	126	105	?b	0.0	0.0	0.0
?b  485  ?a   => ?a  381  ?b	0.834645669	0.762589928	0.92173913	106	139	115	?a	0.0	0.0	0.0
?b  1322  ?a   => ?a  383  ?b	0.81124498	0.841666667	0.870689655	202	240	232	?b	0.0	0.0	0.0
?b  1314  ?a   => ?a  1160  ?b	0.801829268	0.794561934	0.851132686	263	331	309	?a	0.0	0.0	0.0
?a  1091  ?b   => ?a  1155  ?b	0.837758112	0.813753582	1	284	349	284	?a	0.0	0.0	0.0
?a  1294  ?b   => ?a  1155  ?b	0.82300885	0.820588235	1	279	340	279	?a	0.0	0.0	0.0
?a  1291  ?b   => ?a  1155  ?b	0.820058997	0.815249267	1	278	341	278	?a	0.0	0.0	0.0
?a  435  ?b   => ?a  1155  ?b	0.799410029	0.81626506	1	271	332	271	?a	0.0	0.0	0.0
?b  1134  ?a   => ?a  1172  ?b	0.822173913	0.822173913	0.874248729	1891	2300	2163	?b	0.0	0.0	0.0
?b  17  ?a   => ?a  1157  ?b	0.833836858	0.793103448	0.793103448	552	696	696	?b	0.0	0.0	0.0
