41	13	38
45	15	43
49	17	47
53	19	51
58	21	55
1200	23	1199
1204	25	1202
1208	27	1206
1212	29	1210
1216	31	1214
1220	17	1219
1223	1105	1221
1227	1106	1225
1231	1107	1228
1237	25	1234
1250	25	1248
1252	1108	1251
1254	1109	1253
1258	1106	1256
1262	1110	1260
1270	1111	1269
1272	1112	1271
1274	1113	1273
1276	1114	1275
1280	1135	1277
1295	1136	1292
1299	1137	1297
1304	1138	1301
1307	1139	1305
1309	13	1308
1325	1140	1322
1330	25	1328
1332	1141	1332
1335	1142	1334
1337	23	1336
1349	1143	1338
1357	1144	1353
1365	1107	1361
1372	1165	1368
1377	1166	1376
1388	1167	1378
1396	1168	1392
1404	1107	1400
1409	1169	1407
1417	1170	1413
1419	1135	1418
1421	1170	1420
1423	1171	1422
1425	1169	1424
1427	25	1426
6452	1170	1428
6454	1172	6453
6456	1108	6455
6458	1173	6457
6461	1174	6459
6479	1195	6463
6481	1196	6480
6483	1168	6482
6485	1197	6484
6487	1107	6486
6513	1198	6490
6515	1139	6514
6517	1199	6516
6519	25	6518
6521	1200	6520
6553	1139	6522
6555	1201	6554
6557	31	6556
6558	1202	6558
6560	1203	6559
6562	29	6561
6595	1204	6593
6597	1225	6596
6598	13	6461
6600	1226	6599
6602	1170	6601
6637	1227	6603
6642	1228	6639
6644	1229	6643
6646	17	6645
6648	1230	6647
6679	13	6649
6683	1231	6680
6688	1167	6686
6691	1232	6690
6693	1170	6692
6713	17	6694
6715	25	6714
6719	25	6717
6724	1233	6721
6726	1111	6725
6742	25	6727
6744	1170	6743
6748	1234	6745
6753	1245	6750
6757	1246	6756
6770	1247	6758
1422	1248	6771
6774	25	6773
6778	1174	6775
6784	1249	6781
6788	1167	6787
6850	1250	6849
6852	1251	6851
6854	1252	6853
6857	1253	6855
6861	1165	6859
6876	1254	6875
1270	1265	6877
6879	1266	6878
6881	17	6880
6885	1246	6882
6909	1267	6888
6911	1268	6910
6913	1139	6912
6915	1269	6914
6917	1245	6916
