Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 99783 facts in 0.28 s using -99 MB
Using HeadCoverage as pruning metric with minimum threshold 0.5
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.5
Filtering on PCA confidence with minimum threshold 0.7
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  1283  ?a   => ?a  1185  ?b	0.846153846	0.8	0.8	132	165	165	?a	0.0	0.0	0.0
?b  559  ?a   => ?a  1189  ?b	0.780487805	0.8	1	96	120	96	?b	0.0	0.0	0.0
?b  1243  ?a   => ?a  1198  ?b	0.830388693	0.807560137	0.951417004	235	291	247	?a	0.0	0.0	0.0
?b  1257  ?a   => ?a  1179  ?b	0.768518519	0.81372549	0.902173913	83	102	92	?b	0.0	0.0	0.0
?b  1001  ?a   => ?a  1177  ?b	0.775362319	0.816793893	0.930434783	107	131	115	?a	0.0	0.0	0.0
?b  522  ?a   => ?a  1171  ?b	0.824561404	0.862385321	0.886792453	94	109	106	?b	0.0	0.0	0.0
?b  21  ?a   => ?a  1195  ?b	0.801571709	0.846473029	0.951048951	408	482	429	?a	0.0	0.0	0.0
?b  1284  ?a   => ?a  1193  ?b	0.801075269	0.82320442	0.93125	149	181	160	?a	0.0	0.0	0.0
?b  1167  ?a   => ?a  1199  ?b	0.829714286	0.840277778	0.881067961	726	864	824	?b	0.0	0.0	0.0
?b  1267  ?a   => ?a  1187  ?b	0.82902829	0.845671267	0.87874837	674	797	767	?b	0.0	0.0	0.0
?b  29  ?a   => ?a  1169  ?b	0.812668464	0.838082001	0.85471297	1206	1439	1411	?b	0.0	0.0	0.0
?b  474  ?a   => ?a  1194  ?b	0.826027397	0.830578512	0.920610687	603	726	655	?a	0.0	0.0	0.0
?b  1163  ?a   => ?a  1163  ?b	0.854700855	0.854700855	0.854700855	100	117	117	?a	0.0	0.0	0.0
?b  19  ?a   => ?a  1174  ?b	0.814629259	0.808151093	0.898342541	813	1006	905	?b	0.0	0.0	0.0
