	rule	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
312	?b 1147 ?f ?a 502 ?f => ?a 502 ?b 	0.721283784	1.0	1.0	427.0	427.0	427.0	?b	0.0	0.0	0.0
250	?e 1119 ?b ?a 1202 ?e => ?a 1119 ?b 	0.692708333	1.0	1.0	133.0	133.0	133.0	?a	0.0	0.0	0.0
388	?a 1141 ?f ?f 459 ?b => ?a 459 ?b 	0.751824818	1.0	1.0	103.0	103.0	103.0	?a	0.0	0.0	0.0
238	?e 1135 ?b ?e 1141 ?a => ?a 1135 ?b 	0.832599119	1.0	1.0	189.0	189.0	189.0	?a	0.0	0.0	0.0
239	?f 1133 ?b ?a 1147 ?f => ?a 1133 ?b 	0.766304348	1.0	1.0	141.0	141.0	141.0	?a	0.0	0.0	0.0
240	?f 1133 ?b ?a 1202 ?f => ?a 1133 ?b 	0.717391304	1.0	1.0	132.0	132.0	132.0	?a	0.0	0.0	0.0
241	?e 1133 ?b ?e 1147 ?a => ?a 1133 ?b 	0.766304348	1.0	1.0	141.0	141.0	141.0	?a	0.0	0.0	0.0
242	?e 1133 ?b ?e 1202 ?a => ?a 1133 ?b 	0.717391304	1.0	1.0	132.0	132.0	132.0	?a	0.0	0.0	0.0
390	?e 1141 ?a ?e 459 ?b => ?a 459 ?b 	0.751824818	1.0	1.0	103.0	103.0	103.0	?a	0.0	0.0	0.0
392	?a 1147 ?f ?f 1201 ?b => ?a 1201 ?b 	0.74522293	1.0	1.0	117.0	117.0	117.0	?a	0.0	0.0	0.0
243	?f 1119 ?b ?a 1147 ?f => ?a 1119 ?b 	0.708333333	1.0	1.0	136.0	136.0	136.0	?a	0.0	0.0	0.0
393	?f 1201 ?b ?a 1202 ?f => ?a 1201 ?b 	0.694267516	1.0	1.0	109.0	109.0	109.0	?a	0.0	0.0	0.0
394	?e 1201 ?b ?e 1202 ?a => ?a 1201 ?b 	0.694267516	1.0	1.0	109.0	109.0	109.0	?a	0.0	0.0	0.0
248	?e 1119 ?b ?e 1147 ?a => ?a 1119 ?b 	0.708333333	1.0	1.0	136.0	136.0	136.0	?a	0.0	0.0	0.0
256	?a 1147 ?f ?f 1168 ?b => ?a 1168 ?b 	0.661877395	1.0	1.0	691.0	691.0	691.0	?b	0.0	0.0	0.0
274	?a 1110 ?f ?f 1202 ?b => ?a 1110 ?b 	0.638623327	1.0	1.0	668.0	668.0	668.0	?a	0.0	0.0	0.0
395	?e 1147 ?a ?e 1201 ?b => ?a 1201 ?b 	0.74522293	1.0	1.0	117.0	117.0	117.0	?a	0.0	0.0	0.0
257	?e 1147 ?a ?e 1168 ?b => ?a 1168 ?b 	0.661877395	1.0	1.0	691.0	691.0	691.0	?b	0.0	0.0	0.0
258	?e 1168 ?b ?e 1202 ?a => ?a 1168 ?b 	0.642720307	1.0	1.0	671.0	671.0	671.0	?b	0.0	0.0	0.0
259	?e 1168 ?b ?a 1202 ?e => ?a 1168 ?b 	0.642720307	1.0	1.0	671.0	671.0	671.0	?b	0.0	0.0	0.0
320	?f 1141 ?b ?a 1293 ?f => ?a 1293 ?b 	0.818565401	1.0	1.0	194.0	194.0	194.0	?b	0.0	0.0	0.0
319	?b 1141 ?f ?a 1293 ?f => ?a 1293 ?b 	0.818565401	1.0	1.0	194.0	194.0	194.0	?b	0.0	0.0	0.0
265	?f 1140 ?b ?a 1147 ?f => ?a 1140 ?b 	0.705172414	1.0	1.0	409.0	409.0	409.0	?a	0.0	0.0	0.0
266	?e 1140 ?b ?e 1202 ?a => ?a 1140 ?b 	0.70862069	1.0	1.0	411.0	411.0	411.0	?a	0.0	0.0	0.0
397	?b 1147 ?f ?f 1202 ?a => ?a 1202 ?b 	0.814553991	1.0	1.0	347.0	347.0	347.0	?a	0.0	0.0	0.0
267	?f 1140 ?b ?a 1202 ?f => ?a 1140 ?b 	0.70862069	1.0	1.0	411.0	411.0	411.0	?a	0.0	0.0	0.0
268	?e 1140 ?b ?e 1147 ?a => ?a 1140 ?b 	0.705172414	1.0	1.0	409.0	409.0	409.0	?a	0.0	0.0	0.0
271	?a 1110 ?f ?b 1147 ?f => ?a 1110 ?b 	0.657743786	1.0	1.0	688.0	688.0	688.0	?a	0.0	0.0	0.0
237	?f 1141 ?a ?b 1141 ?f => ?a 1141 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
236	?f 1135 ?b ?a 1141 ?f => ?a 1135 ?b 	0.832599119	1.0	1.0	189.0	189.0	189.0	?a	0.0	0.0	0.0
235	?e 1141 ?a ?e 1141 ?b => ?a 1141 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
232	?f 1141 ?b ?a 1141 ?f => ?a 1141 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
350	?b 1202 ?f ?a 1277 ?f => ?a 1277 ?b 	0.559006211	1.0	1.0	90.0	90.0	90.0	?b	0.0	0.0	0.0
351	?f 1147 ?b ?a 1277 ?f => ?a 1277 ?b 	0.565217391	1.0	1.0	91.0	91.0	91.0	?b	0.0	0.0	0.0
352	?f 1202 ?b ?a 1277 ?f => ?a 1277 ?b 	0.559006211	1.0	1.0	90.0	90.0	90.0	?b	0.0	0.0	0.0
353	?b 1147 ?f ?a 1277 ?f => ?a 1277 ?b 	0.565217391	1.0	1.0	91.0	91.0	91.0	?b	0.0	0.0	0.0
204	?f 1198 ?b ?a 1202 ?f => ?a 1198 ?b 	0.685512367	1.0	1.0	194.0	194.0	194.0	?a	0.0	0.0	0.0
207	?e 1198 ?b ?e 1202 ?a => ?a 1198 ?b 	0.685512367	1.0	1.0	194.0	194.0	194.0	?a	0.0	0.0	0.0
209	?e 1147 ?a ?e 1198 ?b => ?a 1198 ?b 	0.664310954	1.0	1.0	188.0	188.0	188.0	?a	0.0	0.0	0.0
